E,px,py,pz
1173.79,155.9,-12.66,1050.39
829.77,634.95,174.2,70.83
582.55,-43.0,-295.79,-4.52
780.14,-87.43,385.86,449.53
798.6,391.12,-429.64,-224.04
631.14,293.7,238.75,-71.27
944.04,-122.45,249.67,750.93
1016.52,-158.87,297.76,818.18
599.37,-133.88,-60.96,295.99
1171.14,-114.05,-554.11,895.28
515.98,52.12,-87.37,76.68
889.47,203.24,116.52,-697.33
1651.19,108.65,228.28,-1553.22
883.54,169.44,210.78,-676.39
1308.82,-217.54,-220.18,1169.28
754.43,161.33,81.17,535.31
1065.5,-191.45,909.55,146.12
1307.58,131.09,297.85,1163.56
2773.69,341.37,110.39,-2704.56
600.59,-269.06,-22.0,-194.51
1304.22,-117.24,-319.97,1155.37
1237.92,-168.83,331.14,1069.72
1111.64,-19.05,227.09,966.34
590.08,289.51,106.38,55.36
790.65,5.42,-42.68,-610.96
971.21,187.39,-102.35,804.77
797.86,407.6,-16.87,-469.22
1451.76,209.11,84.05,1344.18
682.83,17.58,257.04,387.15
610.55,-35.95,224.14,266.91
1374.91,-904.77,-895.05,-143.65
1516.49,-48.34,523.36,-1331.72
1042.65,79.96,-75.59,908.3
1096.42,-318.27,-32.79,-921.83
1143.53,-375.73,258.54,-921.76
711.38,-197.76,204.4,-418.55
782.91,-167.32,432.63,384.42
970.47,57.18,-35.0,829.05
1141.59,187.7,117.45,1002.1
1227.8,-138.93,-489.7,-999.19
942.58,659.87,-446.64,59.57
1219.15,-54.02,195.52,1093.24
2297.23,766.67,410.79,2066.57
551.74,184.41,47.26,-134.8
722.25,9.09,84.38,514.24
642.39,-89.28,56.21,389.27
2494.0,252.74,278.99,-2414.19
800.06,-32.33,64.65,620.38
629.9,-34.71,345.53,-161.78
554.88,-99.96,185.97,115.41
985.05,-140.31,-368.42,751.6
558.76,-231.59,22.34,89.92
827.08,-251.39,-144.43,-591.62
1522.54,-20.77,-168.69,1428.02
3661.21,863.94,-145.95,3519.48
525.02,128.39,-0.17,-95.74
1500.23,-329.78,-1117.53,801.9
677.18,-173.37,103.68,409.6
912.92,-177.59,-201.96,714.91
912.96,-561.91,-53.0,-514.73
847.76,238.83,30.07,-640.9
687.31,61.5,85.84,-459.62
598.45,22.42,92.16,-314.87
1239.93,-90.95,-381.77,1064.61
662.53,-93.68,53.11,421.12
798.82,150.55,115.67,593.36
2613.4,-130.41,142.06,2557.86
806.29,34.97,36.62,630.51
648.54,87.19,181.86,360.45
625.78,4.86,-157.98,341.5
703.7,122.48,-92.95,470.7
605.16,-223.16,-238.04,-98.77
509.86,-32.49,-93.19,-14.88
741.26,142.05,98.78,519.16
1435.41,-238.52,-138.25,1316.96
826.01,63.75,-111.56,644.82
617.58,18.81,3.28,361.99
1404.22,-137.87,242.82,1282.13
